Work Item Type,State,Area Level 2,Title 1,Title 2,Title 3,ID
Epic,New,PDH Technology,Non-Dev,,,309
Feature,New,PDH Technology,,Non-Dev,,20
Product Backlog Item,Done,PDH Technology,,,Add Philhenning V1 to Azure DevOps Boards,168
Product Backlog Item,Done,PDH Technology,,,Add project information to OneNote from Excel,101
Product Backlog Item,Done,PDH Technology,,,add tree_data_v2 to local test,103
Product Backlog Item,Done,PDH Technology,,,Change local folders to snake case,143
Product Backlog Item,Done,PDH Technology,,,change tree_data folder to tree_data_v1,102
Product Backlog Item,Done,PDH Technology,,,Create 'live test' environment,213
Product Backlog Item,Done,PDH Technology,,,Find and add Philhenning blog db to both local and live,169
Product Backlog Item,Done,PDH Technology,,,Save / store / record repeating operations e.g. adding projects to test environment or adding projects to Azure DevOps Boards,104
Product Backlog Item,Done,PDH Technology,,,Set up Philhenning V2 in Azure DevOps Boards,38
Product Backlog Item,Done,PDH Technology,,,Set up Philhenning V2 on philiphenning.com,50
Product Backlog Item,Done,PDH Technology,,,Set up Points Academy in Azure DevOps Boards,87
Product Backlog Item,Done,PDH Technology,,,Set up Quiz in Azure DevOps Boards,81
Product Backlog Item,Done,PDH Technology,,,Set up Quiz on philiphenning.com,183
Product Backlog Item,Done,PDH Technology,,,Set up Snow Compare in Azure DevOps Boards,69
Product Backlog Item,Done,PDH Technology,,,Set up Snow Compare Shop in Azure DevOps Boards,75
Feature,New,PDH Technology,,SCRUM,,297
Product Backlog Item,Done,PDH Technology,,,Create Templates,249
Product Backlog Item,Done,PDH Technology,,,Create workflow files and add them to the wiki,228
Product Backlog Item,Done,PDH Technology,,,Make sprints last 2 weeks,105
Epic,New,PDH Technology,Post-Launch,,,32
Feature,New,PDH Technology,,Layout,,22
Bug,Done,PDH Technology,,,Logo is too small on mobile devices,51
Feature,New,PDH Technology,,Quality,,23
Product Backlog Item,Done,PDH Technology,,,Amend folder structure in Ionos,166
Epic,New,Tree Data V1,POC,,,301
Feature,New,Tree Data V1,,Setup,,302
Product Backlog Item,Done,Tree Data V1,,,Connect live db,203
Bug,Done,Tree Data V1,,,Error when trying to logout,211
